3411340,Newark,34,NJ,-2,-1,3585,0
4838080,Round Rock ISD,48,TX,1,1,3544,0
4825740,Klein ISD,48,TX,1,1,3530,0
2012990,Wichita,20,KS,0,-1,3469,0
2200840,Jefferson Parish,22,LA,0,-1,3442,0
401870,Chandler Unified District,4,AZ,1,1,3421,0
5307710,Seattle Public Schools,53,WA,1,1,3411,0
634620,San Juan Unified,6,CA,0,-1,3411,0
4820010,Frisco ISD,48,TX,2,2,3390,0
2733840,St. Paul Public School District,27,MN,0,-1,3366,0
1201230,Manatee,12,FL,0,0,3358,0
2200540,East Baton Rouge Parish,22,LA,0,-1,3354,0
403400,Gilbert Unified District,4,AZ,1,1,3341,0
4110040,Portland SD 1J,41,OR,0,1,3299,0
4501440,Charleston 01,45,SC,0,0,3285,0
3704620,Union County Public Schools,37,NC,1,1,3282,0
1200330,Collier,12,FL,0,0,3278,0
4701590,Hamilton County School Distrct,47,TN,0,0,3240,0
407750,Deer Valley Unified District,4,AZ,1,1,3226,0
4846680,Ysleta ISD,48,TX,-1,0,3207,0
2200300,Caddo Parish,22,LA,-1,-1,3205,0
4840710,Socorro ISD,48,TX,0,0,3199,0
806900,Adams 12 Five Star Schools,8,CO,1,0,3189,0
608610,Chula Vista Elementary,6,CA,0,0,3181,0
1302820,Henry County,13,GA,0,0,3178,0
4843650,United ISD,48,TX,-1,-1,3171,0
633150,Riverside Unified,6,CA,0,-1,3150,0
4022770,Oklahoma City,40,OK,-1,-2,3144,0
1301110,Cherokee County,13,GA,1,1,3126,0
2721240,Minneapolis Public School Dist.,27,MN,0,-1,3125,0
1302220,Forsyth County,13,GA,1,2,3107,0
1201680,Sarasota,12,FL,0,1,3101,0
2201170,Orleans Parish,22,LA,-1,-1,3082,0
1201260,Marion,12,FL,-1,0,3080,0
638010,Stockton Unified,6,CA,-2,-2,3072,0
638640,Sweetwater Union High,6,CA,0,-1,3063,0
1201050,Lake,12,FL,0,0,3061,0
406250,Peoria Unified School District,4,AZ,1,0,3036,0
603630,Bakersfield City,6,CA,-2,-2,3011,0
1804770,Indianapolis Public Schools,18,IN,-2,-1,3008,0
1713710,Sd U-46,17,IL,1,0,3000,0
609030,Clovis Unified,6,CA,1,1,2995,0
4502490,Horry 01,45,SC,0,0,2995,0
613920,Fontana Unified,6,CA,-1,-2,2990,0
4830390,Mesquite ISD,48,TX,0,0,2983,0
4030240,Tulsa,40,OK,-1,-2,2978,0
2400330,Frederick County Public Schools,24,MD,1,1,2975,0
4110820,Salem-Keizer SD 24J,41,OR,0,0,2973,0
4815270,Corpus Christi ISD,48,TX,0,-1,2968,0
4825660,Killeen ISD,48,TX,0,0,2963,0
4814280,Clear Creek ISD,48,TX,1,1,2956,0
4703690,Rutherford County School Dist,47,TN,0,1,2945,0
1200510,Escambia,12,FL,0,0,2939,0
5100810,Chesapeake City Pblc Schs,51,VA,1,0,2934,0
4101920,Beaverton SD 48J,41,OR,1,1,2927,0
2703180,Anoka-Hennepin Public School Dist.,27,MN,1,1,2926,0
1201770,St. Lucie,12,FL,0,0,2916,0
1602100,Meridian Joint District,16,ID,1,1,2912,0
802340,"Aurora, Joint District No. 28 Of The Counties Of Adams And A",8,CO,0,-1,2909,0
2101860,Fayette County,21,KY,0,1,2881,0
2400390,Harford County Public Schools,24,MD,1,1,2853,0
4900142,Canyons School District,49,UT,1,1,2851,0
3605850,Buffalo City School District,36,NY,-2,-2,2834,0
4837020,Richardson ISD,48,TX,0,1,2813,0
2201650,St. Tammany Parish,22,LA,1,0,2813,0
4823910,Humble ISD,48,TX,1,0,2802,0
3701260,Durham Public Schools,37,NC,0,-1,2768,0
3172840,Lincoln Public Schools,31,NE,0,1,2753,0
4841220,Spring ISD,48,TX,0,-1,2748,0
3904375,Cincinnati City,39,OH,-1,-1,2727,0
602610,Anaheim City,6,CA,0,-2,2711,0
405930,Paradise Valley Unified District,4,AZ,1,1,2710,0
625800,Moreno Valley Unified,6,CA,-1,-2,2700,0
1301020,Chatham County,13,GA,0,-1,2692,0
409060,Washington Elementary School District,4,AZ,-1,-1,2682,0
3702370,Johnston County Schools,37,NC,0,0,2680,0
4824420,Irving ISD,48,TX,0,-1,2665,0
1200300,Clay,12,FL,0,1,2635,0
4827030,Leander ISD,48,TX,1,1,2602,0
631530,Poway Unified,6,CA,2,2,2597,0
4818180,Edinburg CISD,48,TX,-1,0,2593,0
4825260,Keller ISD,48,TX,1,1,2585,0
4900630,Nebo District,49,UT,1,0,2578,0
3701620,Gaston County Schools,37,NC,-1,0,2573,0
101920,Jefferson County,1,AL,0,-1,2555,0
1201110,Leon,12,FL,0,1,2551,0
626370,Mt. Diablo Unified,6,CA,1,0,2544,0
4901200,Weber District,49,UT,1,0,2540,0
2929280,St. Louis City,29,MO,-2,-2,2535,0
614400,Fremont Unified,6,CA,2,2,2504,0
2801320,Desoto CO School Dist,28,MS,0,0,2502,0
4834860,Pharr-San Juan-Alamo ISD,48,TX,-2,-1,2495,0
4828920,Mansfield ISD,48,TX,1,1,2480,0
4841100,Spring Branch ISD,48,TX,0,0,2463,0
2200330,Calcasieu Parish,22,LA,0,-1,2456,0
628470,Ontario-Montclair Elementary,6,CA,-1,-2,2453,0
102430,Montgomery County,1,AL,-1,-2,2449,0
3624750,Rochester City School District,36,NY,-2,-3,2436,0
634590,San Jose Unified,6,CA,1,0,2433,0
4704530,Williamson County School Dist,47,TN,2,2,2424,0
1201740,St. Johns,12,FL,1,2,2421,0
3700530,Cabarrus County Schools,37,NC,0,0,2394,0
4808130,Amarillo ISD,48,TX,0,0,2372,0
1304380,Richmond County,13,GA,-1,-2,2366,0
1303870,Muscogee County,13,GA,-1,-1,2352,0
601332,Twin Rivers Unified,6,CA,-1,-2,2350,0
